mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
5.56,0.655,5.244,0.506,1.429,0.369,7.547999999999999,320.744,0.0
5.869,0.6559999999999999,4.919,0.493,1.416,0.363,7.191,330.265,0.0
5.864,0.654,4.853,0.503,1.408,0.34700000000000003,7.1110000000000015,258.449,0.0
6.0470000000000015,0.637,4.658,0.473,1.4469999999999998,0.37,6.9479999999999995,258.012,0.0
6.28,0.636,4.362,0.489,1.429,0.37799999999999995,6.6579999999999995,271.671,0.0
6.256,0.631,4.151,0.488,1.43,0.368,6.436,254.831,0.0
5.989,0.628,4.323,0.46299999999999997,1.416,0.3720000000000001,6.574,259.062,0.0
6.055,0.636,4.232,0.485,1.396,0.35600000000000004,6.468,267.06,0.0
5.9579999999999975,0.629,4.2860000000000005,0.47100000000000003,1.3969999999999998,0.358,6.511,261.651,0.0
6.051,0.633,4.327,0.47,1.367,0.359,6.522,330.325,0.0
6.232,0.626,4.183,0.45899999999999996,1.374,0.358,6.374,252.68,0.0
6.351,0.624,4.123,0.47600000000000003,1.379,0.35700000000000004,6.335,273.58299999999997,0.0
6.2079999999999975,0.614,4.178,0.475,1.3940000000000001,0.371,6.419,270.07099999999997,0.0
5.856,0.636,4.247,0.456,1.329,0.342,6.374,275.83,0.0
5.9670000000000005,0.632,4.18,0.478,1.327,0.35700000000000004,6.3420000000000005,286.03,0.0
6.337999999999999,0.625,4.099,0.455,1.306,0.337,6.197,272.064,0.0
5.965,0.619,4.187,0.462,1.314,0.353,6.316,279.285,0.0
6.653,0.629,4.005,0.46299999999999997,1.294,0.35600000000000004,6.117000000000001,307.168,0.0
6.474,0.625,4.124,0.469,1.2819999999999998,0.35600000000000004,6.23,295.839,0.0
6.2479999999999976,0.623,4.211,0.444,1.2790000000000001,0.35600000000000004,6.291,305.532,0.0
6.097,0.638,4.081,0.461,1.236,0.335,6.1129999999999995,258.357,0.0
6.057,0.624,4.058,0.452,1.261,0.33799999999999997,6.108,267.629,0.0
6.313,0.619,4.151,0.439,1.286,0.344,6.221,283.17,0.0
6.419,0.63,3.932,0.45899999999999996,1.2570000000000001,0.35100000000000003,6.0,281.152,0.0
6.4670000000000005,0.624,3.997,0.451,1.28,0.344,6.0729999999999995,294.224,0.0
6.285,0.619,4.118,0.423,1.246,0.35700000000000004,6.144,284.218,0.0
6.375,0.614,3.9589999999999996,0.449,1.26,0.335,6.002999999999999,267.827,0.0
6.499,0.609,3.9560000000000004,0.449,1.258,0.342,6.006,304.99,0.0
6.897,0.608,3.9,0.445,1.3030000000000002,0.35700000000000004,6.005,283.52,0.0
6.959,0.6,3.694,0.433,1.272,0.35200000000000004,5.75,300.841,0.0
6.996,0.584,4.006,0.4320000000000001,1.443,0.421,6.3020000000000005,304.62,0.0
7.3679999999999986,0.591,3.708,0.442,1.356,0.395,5.901,294.719,0.0
7.072,0.604,3.912,0.444,1.33,0.381,6.068,319.487,0.0
7.1160000000000005,0.6,3.794,0.426,1.298,0.386,5.904,299.468,0.0
7.144,0.604,3.652,0.452,1.295,0.364,5.763,338.278,0.0
6.812,0.604,3.839,0.439,1.286,0.362,5.926,304.599,0.0
6.6610000000000005,0.61,3.844,0.431,1.259,0.362,5.896,322.096,0.0
7.199,0.5920000000000001,3.719,0.424,1.275,0.375,5.794,326.573,0.0
7.0889999999999995,0.602,4.026,0.434,1.281,0.353,6.093999999999999,260.999,0.0
7.261,0.598,3.8289999999999997,0.444,1.266,0.36,5.899,259.901,0.0
7.317,0.601,3.798,0.44,1.2830000000000001,0.364,5.885,242.40900000000002,0.0
6.61,0.615,3.821,0.41100000000000003,1.236,0.337,5.803999999999999,257.139,0.0
7.063,0.603,3.6710000000000003,0.445,1.2570000000000001,0.344,5.718,263.825,0.0
6.93,0.608,3.875,0.439,1.2570000000000001,0.35100000000000003,5.922000000000001,265.055,0.0
6.792000000000001,0.606,3.85,0.426,1.25,0.349,5.875,262.642,0.0
6.972,0.598,3.931,0.421,1.252,0.363,5.966,283.554,0.0
7.266,0.598,3.695,0.432,1.256,0.364,5.747,305.785,0.0
